,,,,,,discrimination/prejudice,aggression,demographics,other characteristics,"aggression, physical action",discrimination/prejudice,demographics,demographics,"discrimination/prejudice, verbal/written expression",sociocultural control,demographics,other characteristics,"discrimination/prejudice, verbal/written expression",demographics,demographics,"aggression, physical action",aggression,aggression,"aggression, physical action",verbal/written expressions,demographics,demographics,verbal/written expressions,verbal/written expressions,beliefs,verbal/written expressions,demographics,aggression,beliefs,demographics,verbal/written expressions,discrimination/prejudice,"aggression, verbal/written expression",demographics,aggression,discrimination/prejudice,discrimination/prejudice,aggression,other characteristics,aggression,demographics,aggression,discrimination/prejudice,aggression,aggression,beliefs,"aggression, verbal/written expression",demographics,demographics,demographics,aggression,"aggression, verbal/written expression",demographics,socioeconomic status,sociocultural control,aggression,other characteristics,aggression,discrimination/prejudice,beliefs,demographics,demographics,demographics,demographics,discrimination/prejudice,sociocultural control,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,sociocultural control,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,demographics,aggression,discrimination/prejudice,verbal/written expressions,discrimination/prejudice,discrimination/prejudice,sociocultural control,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,sociocultural control,sociocultural control,sociocultural control,"discrimination/prejudice, verbal/written expression","discrimination/prejudice, verbal/written expression","discrimination/prejudice, verbal/written expression",sociocultural control,sociocultural control,discrimination/prejudice,discrimination/prejudice,socioeconomic status,socioeconomic status,socioeconomic status,aggression,sociocultural control,sociocultural control,,"discrimination/prejudice, sociocultural control",sociocultural control,socioeconomic status,socioeconomic status,socioeconomic status,socioeconomic status,aggression,socioeconomic status,demographics,demographics,,other characteristics,demographics,sociocultural control,physical action,aggression,aggression,aggression,verbal/written expressions,"aggression, verbal/written expression",other characteristics,other characteristics,aggression,discrimination/prejudice,discrimination/prejudice,verbal/written expressions,demographics,beliefs,aggression,socioeconomic status,socioeconomic status,verbal/written expressions,verbal/written expressions,socioeconomic status,discrimination/prejudice,verbal/written expressions,verbal/written expressions,other characteristics,sociocultural control,sociocultural control,sociocultural control,discrimination/prejudice,discrimination/prejudice,socioeconomic status,demographics,beliefs,sociocultural control,aggression,"discrimination/prejudice, sociocultural control",socioeconomic status,socioeconomic status,socioeconomic status,sociocultural control,discrimination/prejudice,beliefs,beliefs,sociocultural control,demographics,sociocultural control,verbal/written expressions,sociocultural control,socioeconomic status,beliefs,demographics,beliefs,"aggression, physical action","discrimination/prejudice, sociocultural control","discrimination/prejudice, sociocultural control",socioeconomic status,beliefs,beliefs,beliefs,beliefs,other characteristics,other characteristics,demographics,demographics,demographics,beliefs,other characteristics,discrimination/prejudice,verbal/written expressions,socioeconomic status,sociocultural control,sociocultural control,socioeconomic status,socioeconomic status,"aggression, verbal/written expression",sociocultural control,socioeconomic status,demographics,demographics,demographics,discrimination/prejudice,aggression,demographics,sociocultural control,"discrimination/prejudice, verbal/written expression",beliefs,beliefs,beliefs,demographics,demographics,verbal/written expressions,verbal/written expressions,socioeconomic status,socioeconomic status,socioeconomic status,aggression,socioeconomic status,demographics,socioeconomic status,socioeconomic status,socioeconomic status,socioeconomic status,discrimination/prejudice,discrimination/prejudice,discrimination/prejudice,sociocultural control,sociocultural control,socioeconomic status,sociocultural control,sociocultural control,sociocultural control,socioeconomic status,socioeconomic status,demographics,"discrimination/prejudice, verbal/written expression",sociocultural control,socioeconomic status,socioeconomic status,other characteristics,verbal/written expressions,sociocultural control,sociocultural control,"aggression, physical action",socioeconomic status,beliefs,"aggression, physical action"
,Source,Domain,Definition,Originally in (optional),Languge/Culture/Task,(Dis)rispect,Abuse,Age,Appearance,Attack ,Bigot,Caste,Color,Dehumanize,Deprive,Disability,Disease,Disparage,Ethnicity,Gender,Harm,Hate,Hostile,Hurt,Insult,Minority,Nationality,Offend,Pejorative,Political Opinion,Provoke,Race,Rancor,Religion,Sexual Orientation,Slur,Sterotype,Threat,Tribe,Violate,Xenophobic,abasement of dignity,abhorrence,ability,aggression,ancestry,animosity,anti-semitism,antipathy,aversion,belief,belittle,birth,blood type,breed,brutalize,bullying,citizenship,class,commotion,conflict,constitutional condition,contempt,alienation,creed,cultural traits,cultural values,culture,customs,debasement,deception,defamation,defamatory,defame,degradation,degrade,demean,demonize,denial of war crimes,denigrate,denigration,derogate,derogatory language,descent,detestation,devalue,diminishing,discirmination,discontent,discord,discredit,discriminate,discrimination,discriminatory,disharmony,disinformation,disorder,disparage,disparagement,disparity,disturb,disunity,divide,division,economic status,economic/social origin,employment,enmity,ethnic cleansing,ethnocentricism,exceptionality,exclusion,explotation/trafficking of human being,familial status,family,family situation,family status,fear,financial status,foreigners,gender identity,generation,genetic characteristics,genetic origin,genocide,gesture,harass,harassing,harassment,harsh language,hate,health,health characteristics,hostility,humiliate,humiliation,humour,identity,ideology,ill will,immigration status,immigration?,impolite,inappropriate language,income,inferiority,inflammatory,insulting,intellectual ability,interference,intimidate,intimidating,intolerance,islamic principles,job,language,life stance,limitation of rights,malice,marginalize,marital status,mental capacity,migrants,misinformation,mock,moral orientations,morality,nationalism,native identity,objectifying,obscene,obstruct rights,occupation,opinion,origin,outlook on life,outrage,persecute,persecution,personal status,philosophical group,philosophical ideology,philosophical movement,philosophical opinion,physical condition,physical damage,place of birth,place of origin,place of residence,politics,pregnancy,prejudice,profanity,profession,propaganda,propagate,property,property status,provocation,radical nationalism,refugees,region,regional origin,regional segregation,rejection,resentment,residence,revolt,ridicule,sect,sectarianism,sects,sex,sex change,slander,slur,social,social class,social classes,social hate,social or economic status,social origin,social status,socioeconomic,socioeconomic class,socioeconomic status,stigma,stigmatisation,stigmatize,superiority,supremacy,syndicate,terrorism,subvert,totality,trade union activity,trade union membership,traditions,undermining,unrest,veteran,veteran status,victims of violent event,vilify,violate equality,violation of rights,violence,wealth,worldview,wound
0,L-HSAB: A Levantine Twitter Dataset for Hate Speech and Abusive Language,research paper,"hate speech (HS) is formally defined as “any communication that disparages a person or a group on the basis of some
characteristic such as race, color, ethnicity, gender, sexual orientation, nationality, religion, or
other characteristic”","John T. Nockleby. 2000. Hate Speech, volume 1. Encyclopedia of the American Constitution (2nd ed.,
edited by Leonard W. Levy, Kenneth L. Karst et al.
New York: Macmillan, New York: Macmillan.",Arabic,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Are They our Brothers? Analysis and Detection of Religious Hate Speech in the Arabic Twittersphere,research paper,"Religious hate speech which we define as a speech that is insulting, offensive, or hurtful and is intended to incite hate, discrimination, or violence against an individual or a group of people on the basis of religious beliefs or lack of any religious beliefs",0,Arabic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,"Hate Speech detection in the Bengali language:
A dataset and its baseline evaluation",research paper,"Hate speech is a sentence that dehumanizes one or multiple persons or a
community. Dehumanizing can be done by comparing the person or community to an insect, object, or a criminal. It can also be done by targeting a
person based on their race, gender, physical and mental disability.",0,Bengali,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DALC: the Dutch Abusive Language Corpus ,research paper,"impolite, harsh, or hurtful language (that may
contain profanities or vulgar language) that
result in a debasement, harassment, threat, or aggression of an individual or a (social) group,
but not necessarily of an entity, an institution,
an organization, or a concept.",0,Dutch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Hate Speech Dataset from a White Supremacy Forum,research paper,"Hate speech is commonly defined as any communication that disparages a target group of
people based on some characteristic such as
race, colour, ethnicity, gender, sexual orientation, nationality, religion, or other characteristic.",0,English,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Hateful Symbols or Hateful People?
Predictive Features for Hate Speech Detection on Twitter",research paper,"A tweet is offensive if it
1. uses a sexist or racial slur.
2. attacks a minority.
3. seeks to silence a minority.
4. criticizes a minority (without a well founded
argument).
5. promotes, but does not directly use, hate
speech or violent crime.
6. criticizes a minority and uses a straw man argument.
7. blatantly misrepresents truth or seeks to distort views on a minority with unfounded
claims.
8. shows support of problematic hash tags. E.g.
“#BanIslam”, “#whoriental”, “#whitegenocide”
9. negatively stereotypes a minority.
10. defends xenophobia or sexism.
11. contains a screen name that is offensive, as
per the previous criteria, the tweet is ambiguous (at best), and the tweet is on a topic that
satisfies any of the above criteria. ",0,English,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Detecting Online Hate Speech Using Context Aware Models,research paper," We define
hateful speech to be the language which explicitly or implicitly threatens or demeans a person or
a group based upon a facet of their identity such
as gender, ethnicity, or sexual orientation.",0,English,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Introducing the GAB corpus,research paper,"Language that intends to — through rhetorical devices and contextual
references — attack the dignity of a group of people, either through an
incitement to violence, encouragement of the incitement to violence, or the
incitement to hatred",0,English,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Characterizing and Detecting Hateful Users on Twitter,research paper,"“hate speech” is any type of content that ‘promotes
violence against or directly attack or threaten other people
on the basis of race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or disease.",Twitter Hateful Conduct,English,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
